"PaymentID","OfferID","BankID","PaymentMode"
"475","17186","16",NULL
"476","17241","19",NULL
"477","17295","16",NULL
"478","17296","16",NULL
"479","17297","16",NULL
"480","17298","16",NULL
"481","17299","16",NULL
"482","17300","16",NULL
"483","17301","16",NULL
"484","17302","16",NULL
"485","17303","16",NULL
"486","17304","16",NULL
"487","17305","16",NULL
"488","17313","4",NULL
"489","17314","3",NULL
"490","17315","12",NULL
"491","17316","6",NULL
"492","17326","18",NULL
"493","17327","18",NULL
"494","17328","18",NULL
"495","17329","18",NULL
"496","17330","18",NULL
"497","17331","18",NULL
"498","17345","17",NULL
"499","17353","11",NULL
"500","17366","4",NULL
"501","17386","11",NULL
"502","17400","15",NULL
"503","17406","16",NULL
"504","17407","16",NULL
"505","17408","16",NULL
"506","17409","16",NULL
"507","17410","16",NULL
"508","17411","16",NULL
"509","17419","6",NULL
"510","17420","11",NULL
"511","17433","15",NULL
"512","17434","15",NULL
"513","17435","15",NULL
"514","17436","15",NULL
"515","17447","19",NULL
"516","17456","15",NULL
"517","17460","15",NULL
"518","17465","4",NULL
"519","17508","16",NULL
"520","17527","4",NULL
"521","17528","3",NULL
"522","17562","5",NULL
"523","17608","4",NULL
"524","17629","13",NULL
"525","17630","4",NULL
"526","17631","3",NULL
"527","17632","3",NULL
"528","17633","16",NULL
"529","17634","16",NULL
"530","17635","16",NULL
"531","17636","16",NULL
"532","17637","16",NULL
"533","17638","16",NULL
"534","17639","16",NULL
"535","17654","16",NULL
"536","17655","16",NULL
"537","17656","16",NULL
"538","17657","16",NULL
"539","17658","16",NULL
"540","17659","16",NULL
"541","17666","16",NULL
"542","17667","16",NULL
"543","17668","16",NULL
"544","17706","18",NULL
"545","17712","16",NULL
"546","17722","8",NULL
"547","17724","19",NULL
"548","17725","14",NULL
"549","17727","16",NULL
"550","17800","16",NULL
"551","17808","16",NULL
"552","17809","16",NULL
"553","17867","4",NULL
"554","17869","3",NULL
"555","17870","4",NULL
"556","17871","3",NULL
"557","17893","16",NULL
"558","17894","16",NULL
"559","17895","16",NULL
"560","17896","16",NULL
"561","17897","16",NULL
"562","17898","16",NULL
"563","17899","16",NULL
"564","17966","8",NULL
"565","17976","3",NULL
"566","17987","16",NULL
"567","17988","16",NULL
"568","17989","16",NULL
"569","17990","16",NULL
"570","17992","16",NULL
"571","17993","16",NULL
"572","17994","16",NULL
"573","17995","16",NULL
"574","17996","16",NULL
"575","17997","16",NULL
"576","18044","16",NULL
"577","18088","9",NULL
"578","18090","19",NULL
"579","18091","16",NULL
"580","18092","16",NULL
"581","18094","16",NULL
"582","18095","16",NULL
"583","18096","16",NULL
"584","18097","16",NULL
"585","18098","16",NULL
"586","18099","16",NULL
"587","18100","16",NULL
"588","18101","16",NULL
"589","18102","16",NULL
"590","18103","16",NULL
"591","18104","16",NULL
"592","18105","16",NULL
"593","18106","16",NULL
"594","18107","16",NULL
