"ShopID","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","CheckOpen","StorePhoneAreaCode","StorePhoneNumber","MerchantID","ShopAddDate","MallFlag","ShopActive","ShopSource","ShopSourceValue","ShopAddedBy","ShopEditedBy","ShopLastEdited"
"2265","The Flying Saucer Cafe","Ground Floor, Epicuria Mall, Nehru Place-110019",,"Nehru Place","New Delhi",,"28.5503314","77.2501893","New Delhi","11 AM to 1 AM",,"1","1","1","1","1","1","1","1",,"9560088341","2165","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2266","The Blue Bar  Taj Palace Hotel","Taj Palace Hotel, Diplomatic Enclave, Sardar Patel Marg",,"Malcha","New Delhi",,"28.6053910","77.1867044","New Delhi","12:30 PM to 2:30 PM, 7 PM to 12:30 AM",,"1","1","1","1","1","1","1","1",,"011-26110202","2166","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2267","28 Capri Italy","28 A, Defence Colony Market, Defence Colony",,"Defence Colony","New Delhi",,"28.5726334","77.2325100","New Delhi","11:30 AM to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-46543444","2167","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2268","Tzers","17, 2nd Floor, PVR Anupam Complex, Community Centre, Saket",,"Saket","New Delhi",,"28.5245787","77.2066150","New Delhi","12 Noon to 12:30 AM",,"1","1","1","1","1","1","1","1",,"9810094064","2168","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2269","Ego Obsession","4, Community Centre, New Friends Colony",,"New Friends Colony","New Delhi",,"28.5625924","77.2689888","New Delhi","12 Noon to 3:30 PM, 7 PM to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-26319107","2169","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2270","Barbeque Creation By Kadhai Tadka","R 549, Main Shankar Road, New Rajinder Nagar",,"New Rajinder Nagar","New Delhi",,"28.6398362","77.1774461","New Delhi","11 AM to 11:30 PM",,"1","1","1","1","1","1","1","1",,"011-28743190","2170","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2271","Ego Thai","53, Community Center, New Friends Colony",,"New Friends Colony","New Delhi",,"28.5625924","77.2689888","New Delhi","12:30 PM to 3:30 PM, 7:30 PM to 1 AM",,"1","1","1","1","1","1","1","1",,"011-26331181","2171","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2272","Tapas World","22, Defence Colony Market, ",,"Defence Colony Market","New Delhi",,"28.5457474","77.2595562","New Delhi","12 Noon to 12:30 AM",,"1","1","1","1","1","1","1","1",,"8800091507","2172","2015-01-06",,"Y","Data Upload","Bootlegger","Monish","Monish","2016-02-09 00:00:00"
"2273","Harrys Karaoke Lounge Bar","C-306 & 307, C-Block, 3rd Floor, Ansal Plaza, Khel Gaon Marg",,"Khel Gaon Marg","New Delhi",,"28.5626528","77.2222591","New Delhi","11:30 AM to 1 AM",,"1","1","1","1","1","1","1","1",,"011-41033304","2173","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
"2274","Fez Dining and Bar","3/48, Malcha Marg Shopping Centre, Chanakyapuri",,"Chanakyapuri","New Delhi",,"28.5938532","77.1887364","New Delhi","12 Noon to 12 Midnight",,"1","1","1","1","1","1","1","1",,"011-46068144","2174","2015-01-06",,"Y","Data Upload","Bootlegger","Monish",,"0000-00-00 00:00:00"
