OfferID,ShopID
19498,1670
19499,1671
19500,1672
19501,1673
19502,1674
19568,1675
19569,1676
19695,1677
19696,1678
19698,1679
19699,1680
19700,1681
19701,1682
19703,1683
19704,1684
19705,1686
19706,1687
19774,1688
19775,1689
19776,1690
19777,1691
19778,1692
19779,1693
19780,1694
19781,1695
46990,1695
19782,1696
19783,1697
53225,1697
53226,1697
53227,1697
19784,1698
19785,1699
19789,1700
19790,1701
19791,1702
19792,1703
49580,1703
19793,1704
19794,1705
55192,1705
55193,1705
19795,1706
19853,1707
19854,1708
51533,1708
19855,1709
51536,1709
19856,1710
19857,1711
19858,1712
19859,1713
19860,1714
19861,1715
19862,1716
19863,1717
19864,1718
19865,1719
19866,1720
19867,1721
19868,1722
19869,1723
19870,1724
19871,1725
19872,1726
19873,1727
19874,1728
19875,1729
19876,1730
19877,1731
19878,1732
19879,1733
19932,1734
19933,1735
19934,1736
49581,1736
19935,1737
19936,1738
19937,1739
19938,1740
19939,1741
19940,1742
19941,1743
19942,1744
19943,1745
19944,1746
19945,1747
19946,1748
20083,1749
20084,1750
20085,1751
51722,1751
20086,1752
20087,1753
20088,1754
20089,1755
20090,1756
20091,1757
20092,1758
20093,1759
20094,1760
20095,1761
20096,1762
20097,1763
20099,1764
20100,1765
20101,1766
20102,1767
20103,1768
20286,1769
20287,1770
20288,1771
20289,1773
20290,1774
20291,1775
20292,1776
20293,1777
20294,1778
20295,1779
20296,1780
20297,1781
20298,1782
20299,1783
20300,1784
20301,1785
20302,1786
20303,1787
20304,1788
20305,1789
20306,1790
20307,1791
20308,1792
20309,1793
20310,1794
20311,1795
20312,1796
20452,1797
20453,1798
20454,1799
20455,1800
20456,1801
20457,1802
20458,1803
20459,1804
20460,1805
20461,1806
20462,1807
20463,1808
20464,1809
20465,1810
20466,1811
20467,1812
20468,1813
20469,1814
20470,1815
20474,1817
20475,1818
20476,1819
20477,1820
20478,1821
20479,1822
20589,1823
20590,1824
51032,1824
20591,1825
20592,1826
20593,1827
20594,1828
20595,1829
20596,1830
20597,1831
20598,1832
20599,1833
20600,1834
20601,1835
20602,1836
20603,1837
20604,1838
20605,1839
20606,1840
20607,1841
20608,1842
20609,1843
20610,1844
20611,1845
20612,1846
20613,1847
20614,1848
20615,1849
20616,1850
20617,1851
20618,1852
20726,1853
20727,1854
20728,1855
20729,1856
20730,1857
20731,1858
20732,1859
20733,1860
20734,1861
20735,1862
51432,1862
20736,1863
20737,1864
20738,1865
20739,1866
20740,1867
20741,1868
20742,1869
20743,1870
20744,1871
20745,1872
20746,1873
20747,1874
20748,1875
20849,1876
20850,1877
20852,1879
20853,1880
20854,1881
20855,1882
20856,1883
20857,1884
21023,1885
21024,1886
51521,1886
51522,1886
21025,1887
21026,1888
21027,1889
51715,1889
21028,1890
21029,1891
21030,1892
21031,1893
21032,1894
21033,1895
21034,1896
21035,1897
21036,1898
21037,1899
21038,1900
21039,1901
21040,1902
21041,1903
21042,1904
21043,1905
21044,1906
21101,1907
51710,1907
21102,1908
21103,1909
21104,1910
21105,1911
21106,1912
50488,1912
21107,1913
21108,1915
21109,1916
21110,1917
21111,1918
21112,1919
21113,1920
21114,1921
21115,1922
21116,1923
21117,1924
21118,1925
21119,1926
21120,1927
21121,1928
21122,1929
21123,1930
21124,1931
21125,1932
21126,1933
21127,1934
21617,1935
21618,1936
21619,1937
21620,1938
21621,1939
21622,1940
21623,1941
21624,1942
21625,1943
21626,1944
21627,1945
21628,1946
21629,1947
21630,1948
21631,1949
21632,1951
21633,1952
21634,1953
21635,1954
21636,1955
21637,1956
21638,1957
21639,1958
21640,1959
21641,1960
21642,1961
21643,1962
21644,1963
21645,1964
21735,1965
21736,1966
21738,1967
21739,1968
21955,1969
21956,1970
21957,1971
21958,1972
52787,1972
52788,1972
21959,1973
21960,1974
52931,1974
21961,1975
21962,1976
22287,1977
22288,1978
22289,1979
22290,1980
22291,1981
22292,1982
22293,1983
22294,1984
22295,1985
22296,1986
22297,1987
22298,1988
22299,1989
22299,1990
22299,1991
22300,1992
22300,1993
22300,1994
22301,1995
22301,1996
22301,1997
22564,1998
22564,1999
22564,2000
22564,2001
22565,2002
22577,2003
22578,2004
22661,2005
22663,2006
22664,2007
22665,2008
22666,2009
22667,2010
22668,2011
22669,2012
22670,2013
22671,2014
54772,2014
22672,2015
53853,2015
22673,2016
22674,2017
22675,2018
22678,2019
22679,2020
53851,2020
22680,2021
22681,2022
22682,2023
22683,2024
22684,2025
22685,2026
22940,2027
22941,2028
22942,2029
22943,2030
22944,2031
22945,2032
22946,2033
22947,2034
22952,2035
22956,2036
23089,2037
23098,2039
23098,2040
26795,2040
23098,2041
26795,2041
23098,2042
26795,2042
23099,2043
23100,2044
23100,2045
23101,2046
23101,2047
23101,2048
23101,2049
23101,2050
23101,2051
23103,2052
23104,2053
23104,2054
23104,2056
23105,2057
23105,2058
23105,2059
23105,2060
23105,2061
23105,2062
23269,2063
